ID: 1 | Wiek: 46 | Dzieci: 3 | Trasa: 2 | Cena: 120
ID: 2 | Wiek: 41 | Dzieci: 4 | Trasa: 2 | Cena: 160
ID: 3 | Wiek: 70 | Dzieci: 1 | Trasa: 2 | Cena: 40
ID: 1 | Wiek: 23 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 53 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 43 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
ID: 1 | Wiek: 10 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 49 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 57 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 18 | Grupa: 1 | Trasa Krótka | Koszt: 30 PLN
ID: 1 | Wiek: 66 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 19 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 38 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 74 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 22 | Grupa: 3 | Trasa Długa | Koszt: 150 PLN
ID: 1 | Wiek: 50 | Grupa: 4 | Trasa Krótka | Koszt: 120 PLN
ID: 1 | Wiek: 67 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 46 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 24 | Grupa: 2 | Trasa Krótka | Koszt: 60 PLN
ID: 1 | Wiek: 26 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 11 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 11 | Grupa: 1 | Trasa Długa | Koszt: 50 PLN
ID: 1 | Wiek: 90 | Grupa: 2 | Trasa Długa | Koszt: 100 PLN
ID: 1 | Wiek: 81 | Grupa: 4 | Trasa Długa | Koszt: 200 PLN
ID: 1 | Wiek: 74 | Grupa: 3 | Trasa Krótka | Koszt: 90 PLN
